1,25,1476,565,254,166,1,1,1
1,24,1181,318,276,254,1,1,1
1,23,1256,165,176,106,1,1,1
1,22,682,201,73,120,1,1,1
1,21,1484,570,82,136,1,1,1
1,20,281,105,61,182,1,1,1
1,19,906,125,58,176,1,1,1
1,18,212,106,59,174,1,1,1
1,17,1423,252,77,158,1,1,1
1,16,408,100,54,157,1,1,1
1,15,499,132,50,168,1,1,1
1,14,1357,576,67,207,1,1,1
1,13,240,373,71,220,1,1,1
1,12,873,125,64,175,1,1,1
1,11,346,99,62,180,1,1,1
1,10,1635,260,69,173,1,1,1
1,9,1095,978,76,100,1,1,1
1,8,1796,203,61,188,1,1,1
1,7,546,149,60,172,1,1,1
1,6,100,540,80,249,1,1,1
1,5,358,409,100,235,1,1,1
1,4,1049,130,57,181,1,1,1
1,3,792,144,63,182,1,1,1
1,2,1729,456,77,215,1,1,1
1,1,1100,208,65,184,1,1,1
2,25,1476,564,254,167,1,1,1
2,24,1181,318,277,255,1,1,1
2,20,280,103,63,185,1,1,1
2,19,906,125,59,176,1,1,1
2,18,212,107,59,173,1,1,1
2,17,1423,252,76,159,1,1,1
2,16,408,99,54,157,1,1,1
2,15,497,130,53,172,1,1,1
2,14,1357,576,66,206,1,1,1
2,13,242,370,72,225,1,1,1
2,12,873,127,63,172,1,1,1
2,11,346,99,62,178,1,1,1
2,10,1634,259,69,177,1,1,1
2,9,1099,980,75,99,1,1,1
2,8,1797,203,61,187,1,1,1
2,7,546,151,60,170,1,1,1
2,6,100,540,80,248,1,1,1
2,5,359,408,101,238,1,1,1
2,4,1048,128,59,181,1,1,1
2,3,791,144,63,183,1,1,1
2,2,1729,456,78,216,1,1,1
2,1,1095,208,67,184,1,1,1
